     ,Stand v Waffle,Bishop v Weaver,Benders vs Bruh,AFCG v Ztoven,Dance v Donations,Fins v Afghans,   ,1,2,3,4,5,6,7,8,9,10,11,12
31,Stand,Weaver,Bruh,Ztoven,Donations,Afghans,|,Stand (9-5)    [Points Behind: 0],Afghans (9-5)    [Points Behind: 131],Weaver (9-5)    [Points Behind: 60],Bishop (8-6)    [Points Behind: -259],Ztoven (8-6)    [Points Behind: 89],AFCG (7-7)    [Points Behind: 68],Dance (7-7)    [Points Behind: 16],Fins (6-8)    [Points Behind: -64],Benders (6-8)    [Points Behind: 28],Donations (6-8)    [Points Behind: 54],Bruh (5-9)    [Points Behind: 24],Waffle (4-10)    [Points Behind: 21]
32,Waffle,Bishop,Benders,AFCG,Dance,Fins,|,Bishop (9-5)    [Points Behind: 0],Stand (8-6)    [Points Behind: 68],AFCG (8-6)    [Points Behind: 89],Dance (8-6)    [Points Behind: 16],Afghans (8-6)    [Points Behind: 26],Weaver (8-6)    [Points Behind: 60],Ztoven (7-7)    [Points Behind: -170],Fins (7-7)    [Points Behind: 20],Benders (7-7)    [Points Behind: 28],Donations (5-9)    [Points Behind: 54],Waffle (5-9)    [Points Behind: 45],Bruh (4-10)    [Points Behind: -21]
33,Waffle,Bishop,Benders,AFCG,Dance,Afghans,|,Bishop (9-5)    [Points Behind: 0],Afghans (9-5)    [Points Behind: 199],Stand (8-6)    [Points Behind: -131],AFCG (8-6)    [Points Behind: 89],Dance (8-6)    [Points Behind: 16],Weaver (8-6)    [Points Behind: 86],Ztoven (7-7)    [Points Behind: -170],Benders (7-7)    [Points Behind: 48],Fins (6-8)    [Points Behind: -28],Donations (5-9)    [Points Behind: 82],Waffle (5-9)    [Points Behind: 45],Bruh (4-10)    [Points Behind: -21]
34,Waffle,Bishop,Benders,AFCG,Donations,Fins,|,Bishop (9-5)    [Points Behind: 0],Stand (8-6)    [Points Behind: 68],AFCG (8-6)    [Points Behind: 89],Afghans (8-6)    [Points Behind: 42],Weaver (8-6)    [Points Behind: 60],Ztoven (7-7)    [Points Behind: -170],Fins (7-7)    [Points Behind: 20],Benders (7-7)    [Points Behind: 28],Dance (7-7)    [Points Behind: 36],Donations (6-8)    [Points Behind: 18],Waffle (5-9)    [Points Behind: 45],Bruh (4-10)    [Points Behind: -21]
35,Waffle,Bishop,Benders,AFCG,Donations,Afghans,|,Bishop (9-5)    [Points Behind: 0],Afghans (9-5)    [Points Behind: 199],Stand (8-6)    [Points Behind: -131],AFCG (8-6)    [Points Behind: 89],Weaver (8-6)    [Points Behind: 102],Ztoven (7-7)    [Points Behind: -170],Benders (7-7)    [Points Behind: 48],Dance (7-7)    [Points Behind: 36],Fins (6-8)    [Points Behind: -64],Donations (6-8)    [Points Behind: 82],Waffle (5-9)    [Points Behind: 45],Bruh (4-10)    [Points Behind: -21]
36,Waffle,Bishop,Benders,Ztoven,Dance,Fins,|,Bishop (9-5)    [Points Behind: 0],Stand (8-6)    [Points Behind: 68],Ztoven (8-6)    [Points Behind: 21],Dance (8-6)    [Points Behind: 84],Afghans (8-6)    [Points Behind: 26],Weaver (8-6)    [Points Behind: 60],Fins (7-7)    [Points Behind: -150],Benders (7-7)    [Points Behind: 28],AFCG (7-7)    [Points Behind: 20],Donations (5-9)    [Points Behind: 34],Waffle (5-9)    [Points Behind: 45],Bruh (4-10)    [Points Behind: -21]
37,Waffle,Bishop,Benders,Ztoven,Dance,Afghans,|,Bishop (9-5)    [Points Behind: 0],Afghans (9-5)    [Points Behind: 199],Stand (8-6)    [Points Behind: -131],Ztoven (8-6)    [Points Behind: 21],Dance (8-6)    [Points Behind: 84],Weaver (8-6)    [Points Behind: 86],Benders (7-7)    [Points Behind: -122],AFCG (7-7)    [Points Behind: 20],Fins (6-8)    [Points Behind: -48],Donations (5-9)    [Points Behind: 82],Waffle (5-9)    [Points Behind: 45],Bruh (4-10)    [Points Behind: -21]
38,Waffle,Bishop,Benders,Ztoven,Donations,Fins,|,Bishop (9-5)    [Points Behind: 0],Stand (8-6)    [Points Behind: 68],Ztoven (8-6)    [Points Behind: 21],Afghans (8-6)    [Points Behind: 110],Weaver (8-6)    [Points Behind: 60],Fins (7-7)    [Points Behind: -150],Benders (7-7)    [Points Behind: 28],AFCG (7-7)    [Points Behind: 20],Dance (7-7)    [Points Behind: 16],Donations (6-8)    [Points Behind: 18],Waffle (5-9)    [Points Behind: 45],Bruh (4-10)    [Points Behind: -21]
39,Waffle,Bishop,Benders,Ztoven,Donations,Afghans,|,Bishop (9-5)    [Points Behind: 0],Afghans (9-5)    [Points Behind: 199],Stand (8-6)    [Points Behind: -131],Ztoven (8-6)    [Points Behind: 21],Weaver (8-6)    [Points Behind: 170],Benders (7-7)    [Points Behind: -122],AFCG (7-7)    [Points Behind: 20],Dance (7-7)    [Points Behind: 16],Fins (6-8)    [Points Behind: -64],Donations (6-8)    [Points Behind: 82],Waffle (5-9)    [Points Behind: 45],Bruh (4-10)    [Points Behind: -21]
40,Waffle,Bishop,Bruh,AFCG,Dance,Fins,|,Bishop (9-5)    [Points Behind: 0],Stand (8-6)    [Points Behind: 68],AFCG (8-6)    [Points Behind: 89],Dance (8-6)    [Points Behind: 16],Afghans (8-6)    [Points Behind: 26],Weaver (8-6)    [Points Behind: 60],Ztoven (7-7)    [Points Behind: -170],Fins (7-7)    [Points Behind: 20],Benders (6-8)    [Points Behind: 28],Donations (5-9)    [Points Behind: 54],Bruh (5-9)    [Points Behind: 24],Waffle (5-9)    [Points Behind: 21]
41,Waffle,Bishop,Bruh,AFCG,Dance,Afghans,|,Bishop (9-5)    [Points Behind: 0],Afghans (9-5)    [Points Behind: 199],Stand (8-6)    [Points Behind: -131],AFCG (8-6)    [Points Behind: 89],Dance (8-6)    [Points Behind: 16],Weaver (8-6)    [Points Behind: 86],Ztoven (7-7)    [Points Behind: -170],Fins (6-8)    [Points Behind: 20],Benders (6-8)    [Points Behind: 28],Donations (5-9)    [Points Behind: 54],Bruh (5-9)    [Points Behind: 24],Waffle (5-9)    [Points Behind: 21]
42,Waffle,Bishop,Bruh,AFCG,Donations,Fins,|,Bishop (9-5)    [Points Behind: 0],Stand (8-6)    [Points Behind: 68],AFCG (8-6)    [Points Behind: 89],Afghans (8-6)    [Points Behind: 42],Weaver (8-6)    [Points Behind: 60],Ztoven (7-7)    [Points Behind: -170],Fins (7-7)    [Points Behind: 20],Dance (7-7)    [Points Behind: 64],Benders (6-8)    [Points Behind: -36],Donations (6-8)    [Points Behind: 54],Bruh (5-9)    [Points Behind: 24],Waffle (5-9)    [Points Behind: 21]
43,Waffle,Bishop,Bruh,AFCG,Donations,Afghans,|,Bishop (9-5)    [Points Behind: 0],Afghans (9-5)    [Points Behind: 199],Stand (8-6)    [Points Behind: -131],AFCG (8-6)    [Points Behind: 89],Weaver (8-6)    [Points Behind: 102],Ztoven (7-7)    [Points Behind: -170],Dance (7-7)    [Points Behind: 84],Fins (6-8)    [Points Behind: -64],Benders (6-8)    [Points Behind: 28],Donations (6-8)    [Points Behind: 54],Bruh (5-9)    [Points Behind: 24],Waffle (5-9)    [Points Behind: 21]
44,Waffle,Bishop,Bruh,Ztoven,Dance,Fins,|,Bishop (9-5)    [Points Behind: 0],Stand (8-6)    [Points Behind: 68],Ztoven (8-6)    [Points Behind: 21],Dance (8-6)    [Points Behind: 84],Afghans (8-6)    [Points Behind: 26],Weaver (8-6)    [Points Behind: 60],Fins (7-7)    [Points Behind: -150],AFCG (7-7)    [Points Behind: 48],Benders (6-8)    [Points Behind: -20],Donations (5-9)    [Points Behind: 54],Bruh (5-9)    [Points Behind: 24],Waffle (5-9)    [Points Behind: 21]
45,Waffle,Bishop,Bruh,Ztoven,Dance,Afghans,|,Bishop (9-5)    [Points Behind: 0],Afghans (9-5)    [Points Behind: 199],Stand (8-6)    [Points Behind: -131],Ztoven (8-6)    [Points Behind: 21],Dance (8-6)    [Points Behind: 84],Weaver (8-6)    [Points Behind: 86],AFCG (7-7)    [Points Behind: -102],Fins (6-8)    [Points Behind: -48],Benders (6-8)    [Points Behind: 28],Donations (5-9)    [Points Behind: 54],Bruh (5-9)    [Points Behind: 24],Waffle (5-9)    [Points Behind: 21]
46,Waffle,Bishop,Bruh,Ztoven,Donations,Fins,|,Bishop (9-5)    [Points Behind: 0],Stand (8-6)    [Points Behind: 68],Ztoven (8-6)    [Points Behind: 21],Afghans (8-6)    [Points Behind: 110],Weaver (8-6)    [Points Behind: 60],Fins (7-7)    [Points Behind: -150],AFCG (7-7)    [Points Behind: 48],Dance (7-7)    [Points Behind: 16],Benders (6-8)    [Points Behind: -36],Donations (6-8)    [Points Behind: 54],Bruh (5-9)    [Points Behind: 24],Waffle (5-9)    [Points Behind: 21]
47,Waffle,Bishop,Bruh,Ztoven,Donations,Afghans,|,Bishop (9-5)    [Points Behind: 0],Afghans (9-5)    [Points Behind: 199],Stand (8-6)    [Points Behind: -131],Ztoven (8-6)    [Points Behind: 21],Weaver (8-6)    [Points Behind: 170],AFCG (7-7)    [Points Behind: -102],Dance (7-7)    [Points Behind: 16],Fins (6-8)    [Points Behind: -64],Benders (6-8)    [Points Behind: 28],Donations (6-8)    [Points Behind: 54],Bruh (5-9)    [Points Behind: 24],Waffle (5-9)    [Points Behind: 21]
48,Waffle,Weaver,Benders,AFCG,Dance,Fins,|,Weaver (9-5)    [Points Behind: 0],Bishop (8-6)    [Points Behind: -259],Stand (8-6)    [Points Behind: 68],AFCG (8-6)    [Points Behind: 89],Dance (8-6)    [Points Behind: 16],Afghans (8-6)    [Points Behind: 26],Ztoven (7-7)    [Points Behind: -110],Fins (7-7)    [Points Behind: 20],Benders (7-7)    [Points Behind: 28],Donations (5-9)    [Points Behind: 54],Waffle (5-9)    [Points Behind: 45],Bruh (4-10)    [Points Behind: -21]
49,Waffle,Weaver,Benders,AFCG,Dance,Afghans,|,Afghans (9-5)    [Points Behind: 0],Weaver (9-5)    [Points Behind: 60],Bishop (8-6)    [Points Behind: -259],Stand (8-6)    [Points Behind: 68],AFCG (8-6)    [Points Behind: 89],Dance (8-6)    [Points Behind: 16],Ztoven (7-7)    [Points Behind: -84],Benders (7-7)    [Points Behind: 48],Fins (6-8)    [Points Behind: -28],Donations (5-9)    [Points Behind: 82],Waffle (5-9)    [Points Behind: 45],Bruh (4-10)    [Points Behind: -21]
